REGION,LOCALITE,NOM_BANQUE,CATEGORIE,NOM GUICHET,ADRESSE GUICHET,latitude,longitude
LOCALITE,BANQUE,CATEGORIE,CODE GUICHET,ADRESSE GUICHET,,,
ADREJ,AL BARID BANK,BANQUE CONVENTIONNELLE,2870131,CENTRE EL ADREJ,,,
AFOURAR,AL BARID BANK,BANQUE CONVENTIONNELLE,0850811,"AFOURER                       _x000D_
          _x000D_
                     _x000D_
                 _x000D_
_x000D_
_x000D_
_x000D_
",,,
AGADIR,AL BARID BANK,BANQUE CONVENTIONNELLE,0100581,AGADIR AL FIDIA,,,
AGADIR,AL BARID BANK,BANQUE CONVENTIONNELLE,0100584,AGADIR FOUNTY,,,
AGADIR,AL BARID BANK,BANQUE CONVENTIONNELLE,0100587,"BENSERGAO                     _x000D_
",,,
AGADIR,AL BARID BANK,BANQUE CONVENTIONNELLE,0100588,AGADIR HAY DAKHLA,,,
AGADIR,AL BARID BANK,BANQUE CONVENTIONNELLE,0100591,"ROUTE DE MARRAKECH AGADIR IDA OU TANAN _x000D_
_x000D_
 _x000D_
_x000D_
",,,
AGADIR,AL BARID BANK,BANQUE CONVENTIONNELLE,0100592,AGADIR ANZA,,,
AGADIR,AL BARID BANK,BANQUE CONVENTIONNELLE,0100593,AGADIR QUARTIER INDUSTERIEL,,,
AGADIR,AL BARID BANK,BANQUE CONVENTIONNELLE,0100594,AGADIR FAR,,,
AGADIR,AL BARID BANK,BANQUE CONVENTIONNELLE,0100596,"HAY AL IGHIANS AGADIR_x000D_
_x000D_
 _x000D_
_x000D_
",,,
AGADIR,AL BARID BANK,BANQUE CONVENTIONNELLE,0100601,"AGADIR TALBORJT               _x000D_
_x000D_
_x000D_
",,,
AGADIR,AL BARID BANK,BANQUE CONVENTIONNELLE,0100602,"AGADIR PRINCIPAL              _x000D_
_x000D_
_x000D_
_x000D_
",,,
AGADIR,AL BARID BANK,BANQUE CONVENTIONNELLE,0100603,"AGADIR HAY AL WAFA            _x000D_
      _x000D_
_x000D_
_x000D_
_x000D_
",,,
AGADIR,AL BARID BANK,BANQUE CONVENTIONNELLE,0100604,"AGADIR CITE SIDI MOHAMED      _x000D_
_x000D_
      _x000D_
_x000D_
_x000D_
_x000D_
",,,
